bootstrap	H0_lnL	H0_omega	H2_lnL	H2_omega1	H2_omega2
204	-1288.385294	0.36785	-1286.543373	0.23194	0.46577
205	-1150.019108	0.19506	-1149.242215	0.14080	0.23386
206	-1223.538429	0.39829	-1223.535669	0.40631	0.39447
207	-1227.121908	0.30032	-1226.767374	0.36833	0.27024
208	-1232.613554	0.35044	-1232.597892	0.33519	0.35831
209	-1200.313439	0.22805	-1196.729640	0.12037	0.34575
210	-1268.554850	0.24742	-1268.331651	0.20920	0.26876
211	-1232.324802	0.28977	-1231.031498	0.19584	0.36710
212	-1222.008574	0.35867	-1220.142472	0.22731	0.47466
213	-1231.916021	0.34018	-1228.150829	0.16277	0.47983
214	-1176.501048	0.37129	-1176.181020	0.29761	0.40876
215	-1288.328460	0.30960	-1288.322881	0.30191	0.31434
216	-1262.462159	0.18803	-1262.033193	0.14826	0.21299
217	-1200.957745	0.30704	-1198.829453	0.17635	0.39297
218	-1289.508710	0.40571	-1288.857949	0.55049	0.35181
219	-1328.451030	0.31814	-1327.442112	0.23101	0.37902
220	-1155.073386	0.28317	-1152.425884	0.15858	0.38118
221	-1247.579660	0.27359	-1246.508067	0.19764	0.34031
222	-1268.204148	0.24789	-1267.729242	0.19386	0.28121
